,data_type,count,missing,cardinality,min,1st qrt,mean,median,3rd qrt,max,std dev
budget,int64,6,0.0,4,0,0.0,13000000.0,2500000.0,8750000.0,63000000,24819347.29
id,int64,6,0.0,6,550,551.25,552.5,552.5,553.75,555,1.87
release_date,datetime64[ns],6,0.0,6,1972-12-13 00:00:00,1999-11-19T00:00:00.000000000,1997-04-06 20:00:00,2001-01-31 12:00:00,2003-01-13T06:00:00.000000000,2005-04-20 00:00:00,4414 days 12:15:50.375982144
revenue,int64,6,0.0,5,0,2119608.5,35096023.5,12579635.0,67592547.5,100853753,45347876.16
runtime,int64,6,0.0,6,94,103.5,123.67,115.5,133.5,178,30.87
